department,course,professor
Educational Studies,Seminar in Developmental Psychology: Cognitive Development During the Preschool Years,Kathleen Galotti
Educational Studies,Politics in America: Liberty and Equality,Steven Schier
Educational Studies,Cognitive Neuroscience,Julie Neiworth
Educational Studies,Psychology of Prejudice,Sharon Akimoto
Educational Studies,Race and Ethnicity in the United States,Liz Raleigh
English,Introduction to Rhetoric,Peter Balaam
English,Introduction to Poetry,Timothy Raylor
English,Introduction to U.S. Latino/a Literature,Adriana Estill
English,Shakespeare I,Pierre Hecker
English,Introduction to Creative Writing,Gregory Hewett
English,"Neoclassic, Romantic, and Victorian Literature",Jessica Leiman
English,Christopher Marlowe,Pierre Hecker
English,Revenge Tragedy,Pierre Hecker
English,Arts of Oral Presentation,Elizabeth McKinsey
English,Arts of Oral Presentation,Elizabeth McKinsey
English,The Art of Jane Austen,Constance Walker
English,Shakespeare I,Pierre Hecker
English,Irish Literature,Constance Walker
English,Modern Indian Fiction,Arnab Chakladar
English,Short Story Workshop,Gregory Smith
English,Poetry Workshop,Gregory Hewett
English,London Program: Urban Arts,Susan Jaret McKinstry
English,London Program: Urban Field Studies,Susan Jaret McKinstry
English,London Program: Framing Empire,Susan Jaret McKinstry
English,London Program: London Theater,Susan Jaret McKinstry
English,The Rise of the Novel,Jessica Leiman
English,The City in American Literature,Nancy Cho
English,London Program:  Framing Empire,Susan Jaret McKinstry
English,Integrative Exercise,Staff
English,Advanced Chinese: Poems and Stories,Qiguang Zhao
English,Introduction to Classical Studies,Chico Zimmerman
English,"Mystery, Murder, Madness: Crime Stories in German Literature",Lydia Butt
English,Greek Poetry,Johannes (Hans) Wietzke
English,Homer,Johannes (Hans) Wietzke
English,Advanced Reading in Modern Japanese Literature: The Short Story,Kathryn Sparling
English,Making Meaning of the Hebrew Bible,Shana Sippy
English,The Rise of the Russian Novel,Laura Goering
English,Introduction to Latin American Literature,Silvia Lopez
English,Myth and History in Central American Literature,Yansi Perez
English,Women Writers in Latin America: Body and Text,Becky Boling
Environmental Studies,Ethics and Ecology,Kimberly Smith
Environmental Studies,Public Rhetoric and Environmental Science,Carol Rutz
Environmental Studies,Biodiversity Conservation and Development,Tsegaye Nega
Environmental Studies,"Materials Science, Energy, and the Environment",Melissa Eblen-Zayas
Environmental Studies,Integrative Exercise,Staff
Environmental Studies,Studio Art Seminar in the South Pacific: Mixed-Media Drawing,Fred Hagstrom
Environmental Studies,Studio Art Seminar in th South Pacific: The Physical and Cultural Environment,Fred Hagstrom
Environmental Studies,Energy Flow in Biological Systems,"Raka Mitra, David Hougen-Eitzman"
Environmental Studies,Global Change Biology,Daniel Hernandez
Environmental Studies,Australia Program: Marine Ecology,Annie Bosacker
Environmental Studies,Economics of Natural Resources and the Environment,Aaron Swoboda
Environmental Studies,Climate Change in Geology,Clinton Cowan
Environmental Studies,Geology of Energy and Mineral Resources,Cameron Davidson
Environmental Studies,Hydrology,Mary Savina
Environmental Studies,American Cities and Nature,George Vrtis
Environmental Studies,Introduction to Statistics,Katie St. Clair
Environmental Studies,Introduction to Statistics,Dave Watson
Environmental Studies,Applied Regression Analysis,Laura Chihara
Environmental Studies,Environment and the Evolution of Rules: Designing Institutions to Solve Political Problems,Barbara Allen
Environmental Studies,Environmental Justice,Kimberly Smith
Environmental Studies,Political Econ &amp; Ecology of S.E. Asia: Diversity of Social Ecological Systems in Southeast Asia,Tun Myint
Environmental Studies,Native American Religious Freedom,Michael McNally
Environmental Studies,"Mother Earth: Women, Development and the Environment",Constanza Ocampo-Raeder
European Studies,Introduction to Art History II,"Baird Jarman, Jessica Keating"
European Studies,Theories of Postmodernism,Ross Elfline
European Studies,Creative Travel Writing Workshop,Scott Carpenter
European Studies,Shakespeare I,Pierre Hecker
European Studies,"Neoclassic, Romantic, and Victorian Literature",Jessica Leiman
European Studies,Christopher Marlowe,Pierre Hecker
European Studies,Revenge Tragedy,Pierre Hecker
European Studies,The Art of Jane Austen,Constance Walker
European Studies,Shakespeare I,Pierre Hecker
European Studies,Irish Literature,Constance Walker
European Studies,London Program: Framing Empire,Susan Jaret McKinstry
European Studies,London Program: London Theater,Susan Jaret McKinstry
European Studies,The Rise of the Novel,Jessica Leiman
European Studies,London Program:  Framing Empire,Susan Jaret McKinstry
European Studies,Intermediate French,Eva Posfay
European Studies,Contemporary Francophone Culture,Cherif Keita
European Studies,Topics in Cultural Studies: Cultural Reading of Food,Christine Lac
European Studies,The Mande of West Africa: A Tradition of Change,Cherif Keita
European Studies,Culture or Barbarity? The German Question,Roger Paas
European Studies,"Mystery, Murder, Madness: Crime Stories in German Literature",Lydia Butt
European Studies,Europe in the Twentieth Century,David Tompkins
European Studies,The Peasants are Revolting! Society and Politics in the Making of Modern France,Susannah Ottaway
European Studies,The First World War as Global Phenomenon,David Tompkins
European Studies,Baroque and Classical Music,Lawrence Archbold
European Studies,Existentialism,Anna Moltchanova
European Studies,Comparative Political Regimes,Dev Gupta
European Studies,"Capitalist Crises, Power, and Policy",Kent Freeze
European Studies,The Rise of the Russian Novel,Laura Goering
European Studies,Immigration and Immigrants in Europe and the United States,Daniel Williams
European Studies,The Spanish Civil War,Jorge Brioso
French and Francophone Studies,Intermediate French,Eva Posfay
French and Francophone Studies,Contemporary Francophone Culture,Cherif Keita
French and Francophone Studies,Coffee and News,Cherif Keita
French and Francophone Studies,Europe in the Twentieth Century,David Tompkins
French and Francophone Studies,The Peasants are Revolting! Society and Politics in the Making of Modern France,Susannah Ottaway
French and Francophone Studies,"Introduction to Critical Methods: Structure, Gender, Culture",Scott Carpenter
French,Elementary French,Stephanie Cox
French,Elementary French,Christine Lac
French,Elementary French,Stephanie Cox
French,Intermediate French,Eva Posfay
French,Contemporary Francophone Culture,Cherif Keita
French,Coffee and News,Cherif Keita
French,Topics in Cultural Studies: Cultural Reading of Food,Christine Lac
French,The Mande of West Africa: A Tradition of Change,Cherif Keita
French,Integrative Exercise,Staff
French,"Introduction to Critical Methods: Structure, Gender, Culture",Scott Carpenter
Geology,Climate Change in Geology,Clinton Cowan
Geology,Climate Change Geology Lab,Clinton Cowan
Geology,Geology of Energy and Mineral Resources,Cameron Davidson
Geology,Geol of Mineral&amp;Energy; Lab,Cameron Davidson
Geology,Mineralogy,Bereket Haileab
Geology,Mineralogy Lab,Bereket Haileab
Geology,Mineralogy Lab,Bereket Haileab
Geology,Hydrology,Mary Savina
Geology,Hydrology Laboratory,Mary Savina
Geology,Structural Geology,Sarah Titus
Geology,Structural Geology Lab,Sarah Titus
Geology,Integrative Exercise,Staff
German,Elementary German,Roger Paas
German,Elementary German,Lydia Butt
German,Culture or Barbarity? The German Question,Roger Paas
German,"Mystery, Murder, Madness: Crime Stories in German Literature",Lydia Butt
German,Integrative Exercise,Staff
German,"Introduction to Critical Methods: Structure, Gender, Culture",Scott Carpenter
Greek,Elementary Greek,Rob Hardy
Greek,Greek Poetry,Johannes (Hans) Wietzke
Greek,Homer,Johannes (Hans) Wietzke
Hebrew,Elementary Modern Hebrew,"Stacy Beckwith, "
Hebrew,Intermediate Modern Hebrew,Stacy Beckwith
History,"Crisis, Creativity, and Transformation in Late Antiquity",William North
History,Europe in the Twentieth Century,David Tompkins
History,Cold War in East Asia,Seungjoo Yoon
History,West Africa in the Era of the Slave Trade,Thabiti Willis
History,"History Workshop: The Chinese Cultural Revolution, 1966-76",Seungjoo Yoon
History,The Age of Jefferson,Serena Zabin
History,The Peasants are Revolting! Society and Politics in the Making of Modern France,Susannah Ottaway
History,The First World War as Global Phenomenon,David Tompkins
History,African in the Arab World,Thabiti Willis
History,Junior-year History Colloquium,Harry Williams
History,American Cities and Nature,George Vrtis
History,U.S. Relations with Ghana: The Field Trip and Beyond,Harry Williams
History,Voyages of Understanding,Victoria Morse
History,Advanced Historical Writing,Annette Igra
History,Advanced Historical Writing,Andrew Fisher
History,Integrative Exercise,Staff
History,The Archaeology of Mediterranean Prehistory: From the Beginning to the Classical Age,Alex Knodell
History,The History of American School Reform,Jeff Snyder
Interdisciplinary,Student Conversations about Diversity and Community,Adriana Estill
Interdisciplinary,Student Conversations about Diversity and Community,Adriana Estill
Interdisciplinary,Student Conversations about Diversity and Community,Adriana Estill
Interdisciplinary,Student Conversations about Diversity and Community,Adriana Estill
Interdisciplinary,Hacking the Humanities,Austin Mason
Interdisciplinary,Focus Colloquium,Sam Patterson
Interdisciplinary,MMUF Research Seminar,William North
Interdisciplinary,Public Health in Practice,Debby Walser-Kuntz
Interdisciplinary,Windows on the Good Life,"Laurence Cooper, Alan Rubenstein"
Interdisciplinary,Windows on the Good Life,"Laurence Cooper, Alan Rubenstein"
Interdisciplinary,Focus Sophomore Colloquium,Deborah Gross
Japanese,Elementary Japanese,"Noboru Tomonari, Mariko Kaga"
Japanese,Elementary Japanese,"Mariko Kaga, Noboru Tomonari"
Japanese,Intermediate Japanese,Kathryn Sparling
Japanese,World of Japanese Manga in Translation,Noboru Tomonari
Japanese,Advanced Reading in Modern Japanese Literature: The Short Story,Kathryn Sparling
Latin,Intermediate Latin,Alex Knodell
Latin,Livy,Kathryn Steed
Latin American Studies,Integrative Exercise,Andrew Fisher
Latin American Studies,Cinema and Cultural Change in Chile and Argentina,Cecilia Cornejo
Latin American Studies,Introduction to U.S. Latino/a Literature,Adriana Estill
Latin American Studies,Latin American Politics,Alfred Montero
Latin American Studies,"Mother Earth: Women, Development and the Environment",Constanza Ocampo-Raeder
Latin American Studies,Introduction to Latin American Literature,Silvia Lopez
Latin American Studies,Myth and History in Central American Literature,Yansi Perez
Latin American Studies,Women Writers in Latin America: Body and Text,Becky Boling
Latin American Studies,The Spanish Civil War,Jorge Brioso
Linguistics,Introduction to Linguistics,Mike Flynn
Linguistics,Generative Approaches to Syntax,Cherlon Ussery
Linguistics,First Language Acquisition,Catherine Fortin
Linguistics,Topics in Phonology,Ania Lubowicz
Linguistics,Integrative Exercise,Staff
Linguistics,Computability and Complexity,David Liben-Nowell
Linguistics,Logic,Douglas Marshall
Literature and Cultural Studies,"Introduction to Critical Methods: Structure, Gender, Culture",Scott Carpenter
Mathematics and Statistics,Introduction to Calculus,Allison Tanguay
Mathematics and Statistics,Calculus II,Tommy Occhipinti
Mathematics and Statistics,Calculus II,Allison Tanguay
Mathematics and Statistics,A Tour of Mathematics,Staff
Mathematics and Statistics,Introduction to Multivariable Calculus,Rafe Jones
Mathematics and Statistics,Introduction to Multivariable Calculus,Deanna Haunsperger
Mathematics and Statistics,Introduction to Multivariable Calculus,Deanna Haunsperger
Mathematics and Statistics,Introduction to Statistics,Katie St. Clair
Mathematics and Statistics,Introduction to Statistics,Dave Watson
Mathematics and Statistics,Linear Algebra,Eric Egge
Mathematics and Statistics,Linear Algebra,Rafe Jones
Mathematics and Statistics,Linear Algebra,Gail Nelson
Mathematics and Statistics,Mathematical Structures,Helen Wong
Mathematics and Statistics,Ordinary Differential Equations,Mark Krusemeyer
Mathematics and Statistics,Applied Regression Analysis,Laura Chihara
Mathematics and Statistics,Chaotic Dynamics,Sam Patterson
Mathematics and Statistics,Introduction to Statistical Inference,Katie St. Clair
Mathematics and Statistics,Introduction to Statistical Inference,Dave Watson
Mathematics and Statistics,Statistical Consulting,Laura Chihara
Mathematics and Statistics,Real Analysis II,Gail Nelson
Mathematics and Statistics,Abstract Algebra I,Eric Egge
Mathematics and Statistics,Senior Seminar in Knot Theory,Helen Wong
Mathematics and Statistics,Integrative Exercise,Deanna Haunsperger
Mathematics and Statistics,Integrative Exercise,Tommy Occhipinti
Mathematics and Statistics,Integrative Exercise,Sam Patterson
Mathematics and Statistics,Integrative Exercise,Katie St. Clair
Mathematics and Statistics,Integrative Exercise,Allison Tanguay
Mathematics and Statistics,Integrative Exercise,Dave Watson
Mathematics and Statistics,Integrative Exercise,Gail Nelson
Medieval and Renaissance Studies,Introduction to Art History II,"Baird Jarman, Jessica Keating"
Medieval and Renaissance Studies,Shakespeare I,Pierre Hecker
Medieval and Renaissance Studies,Christopher Marlowe,Pierre Hecker
Medieval and Renaissance Studies,Revenge Tragedy,Pierre Hecker
Medieval and Renaissance Studies,Shakespeare I,Pierre Hecker
Medieval and Renaissance Studies,"Crisis, Creativity, and Transformation in Late Antiquity",William North
